NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,Group_survey,MainDataType,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,SpeciesName,KeepFATE,gs,yearb,Nb_CScomplex_inArticle,nb_RemainingArticles,nb_RemovedArticles,nb_art,nb_Articles_per_sp,orig_Nig,orig_Nsg,orig_Nim,orig_Nsm,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,NbSitesUsed_r100,SimplifiedName,ncbi,mito,dna,Geo_diff,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,noNeedTaxonSearch,genus,genusBC,Geo_dif3,symp,sympara,allop,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric
Cystodytes dellechiajei,Cystodytes dellechiajei,Cystodytes,Ascidiacea,Chordata,Cystodytes,"Lopez-Legentil, S; Turon, X",2006,"Population genetics, phylogeography and speciation of Cystodytes (Ascidiacea) in the western Mediterranean Sea",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,88,203,214,Other chordate (tunicates/lancets),"Genetic, Morphological",mtDNA,8,NA,"Sympatric, Parapatric",NA,NA,NA,67,7,67,7,Mediterranean,NA,"Brooding, hermaphrodite protandric, brooding embryos, larvae (fusion/fission), probably few hours planctonic (general intro)",Rocky shore,"Demersal or benthic, sessile",Cystodytes dellechiajei,other,22,1877,1,1,0,1,1,67,7,67,7,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Cystodytes dellechiajei,TRUE,TRUE,mito,"Sympatric, Parapatric",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore,Demersal or benthic, sessile",TRUE,NA,Rocky,Average,Very low or null,Demersal or benthic,NA,Cystodytes,Cystodytes,"Sympatric, Allopatric",TRUE,TRUE,FALSE,NA,NA,NA,Chordata_Ascidiacea,N,B,N,N,NA,TRUE
Dactylopterus volitans,Dactylopterus volitans,Dactylopterus,Actinopterygii,Chordata,Dactylopterus,"Banon, R; Caballero-Huertas, M; Alonso-Fernandez, A; Barros-Garcia, D; Otero, J; de Carlos, A",2020,Signals of changes in the ichthyofauna composition of Galician waters (NW Iberian Peninsula),REGIONAL STUDIES IN MARINE SCIENCE,39,NA,NA,Fish,Genetic,mtDNA,2,NA,Allopatric,NA,NA,NA,27,NA,9,NA,"Atlantic, Mediterranean",NA,"Planktotroph, pelagic",Soft sediment,Demersal or benthic,Dactylopterus volitans,other,1,1758,1,1,0,1,1,27,NA,9,NA,TRUE,TRUE,TRUE,TRUE,FALSE,4,100,Dactylopterus volitans,TRUE,TRUE,nuc&mito,Allopatric,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic",TRUE,NA,Sediment,Average,Moderate to high,Demersal or benthic,NA,Dactylopterus,Dactylopterus,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE
Dascyllus abudafur,Dascyllus abudafur,Dascyllus,Actinopterygii,Chordata,Dascyllus,"Borsa, Philippe; Sembiring, Andrianus; Fauvelot, Cecile; Chen, Wei-Jen",2014,"Resurrection of Indian Ocean humbug damselfish, Dascyllus abudafur (Forsskal) from synonymy with its Pacific Ocean sibling, Dascyllus aruanus (L.)",COMPTES RENDUS BIOLOGIES,337,709,716,Fish,"Genetic, Morphological","mtDNA, microsatellites",2,Statistic,Allopatric,NA,NA,TRUE,758,56,175,17,Indo-Pacific,Microsatellite info is in another paper. Larval info not given.,"Planktotroph, Demersal or benthic",Coral reef,Demersal or benthic,Dascyllus abudafur,other,11,1775,1,1,0,1,1,758,56,175,17,NA,NA,NA,NA,NA,NA,NA,Dascyllus abudafur,TRUE,TRUE,mito,Allopatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,NA,Dascyllus,Dascyllus,Allopatric,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Chordata_Actinopterygii,Y,E,Y,N,TRUE,FALSE
Dascyllus trimaculatus,Dascyllus trimaculatus,Dascyllus,Actinopterygii,Chordata,Dascyllus,"Bernardi, G; Holbrook, SJ; Schmitt, RJ; Crane, NL; DeMartini, E",2002,"Species boundaries, populations and colour morphs in the coral reef three-spot damselfish (Dascyllus trimaculatus) species complex",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,269,599,605,Fish,"Genetic, Morphological","mtDNA, RFLP",3,No differentiation,"Allopatric, Sympatric",NA,NA,NA,107,8,107,8,Indo-Pacific,NA,"Planktotroph, Pelagic",Coral reef,Demersal or benthic,Dascyllus trimaculatus,other,11,1829,1,1,1,1,2,107,8,107,8,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Dascyllus trimaculatus,TRUE,TRUE,nuc&mito,"Sympatric, Allopatric",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,Moderate to high,Demersal or benthic,NA,Dascyllus,Dascyllus,"Sympatric, Allopatric",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Chordata_Actinopterygii,Y,E,Y,N,TRUE,TRUE
Dendronotus frondosus,Dendronotus frondosus,Dendronotus,Gastropoda,Mollusca,Dendronotus,"Korshunova, T; Martynov, A; Bakken, T; Picton, B",2017,External diversity is restrained by internal conservatism: New nudibranch mollusc contributes to the cryptic species problem,ZOOLOGICA SCRIPTA,46,683,692,Mollusca,"Genetic, Morphological","mtDNA, other nuclear, 28S is the nuclear marker",NA,NA,Sympatric,NA,NA,TRUE,18,NA,NA,NA,"Norway, North Sea, Atlantic Ocean,",high intraspecific diversity makes difficult species diagnostic character finding in this large nudibranche (corroborates my theory),Planktotroph,"Coastal, shallow water","Coastal, shallow water",Dendronotus frondosus,other,29,1774,1,1,0,1,1,18,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,2,100,Dendronotus frondosus,TRUE,TRUE,nuc&mito,Sympatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Coastal, shallow water,Coastal, shallow water",FALSE,NA,NA,Average,NA,NA,NA,Dendronotus,Dendronotus,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,TRUE
Desmodora campbelli,NA,NA,Chromadorea,Nematoda,Desmodora,"Hauquier, F; Leliaert, F; Rigaux, A; Derycke, S; Vanreusel, A",2017,Distinct genetic differentiation and species diversification within two marine nematodes with different habitat preference in Antarctic sediments,BMC EVOLUTIONARY BIOLOGY,17,NA,NA,Nematoda,"Genetic, Morphological","mtDNA, ITS",2,No differentiation,Sympatric,NA,NA,TRUE,25,4,25,4,antarctica,NA,Direct development,Soft sediment,Demersal or benthic,Desmodora campbelli,other,NA,NA,2,1,0,1,1,25,4,25,4,FALSE,FALSE,TRUE,TRUE,TRUE,3,NA,NA,NA,NA,NA,Sympatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic",TRUE,NA,Sediment,Average,Very low or null,Demersal or benthic,NA,NA,Desmodora,Sympatric,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Nematoda_Chromadorea,N,I,N,Y,TRUE,TRUE
Didemnum granulatum,Didemnum granulatum,Didemnum,Ascidiacea,Chordata,Didemnum,"Bouzon, J. L.; Vargas, S. M.; Neto, Oliveira J. F.; Stoco, P. H.; Brandini, F. P.",2014,"Cryptic species and genetic structure in Didemnum granulatum Tokioka, 1954 (Tunicata: Ascidiacea) from the southern Brazilian coast",BRAZILIAN JOURNAL OF BIOLOGY,74,923,932,Other chordate (tunicates/lancets),"Genetic, Morphological",mtDNA,2,Diagnostic,Sympatric,NA,NA,TRUE,45,4,45,4,Southwestern Atlantic,NA,Lecithotrophic,"Rocky shore, fouling communities","Demersal or benthic, Coastal",Didemnum granulatum,other,240,1954,1,1,0,1,1,45,4,45,4,FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,Didemnum granulatum,TRUE,TRUE,mito,Sympatric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, fouling communities,Demersal or benthic, Coastal",TRUE,25,Rocky,Average,NA,Demersal or benthic,NA,Didemnum,Didemnum,Sympatric,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Chordata_Ascidiacea,N,B,N,N,FALSE,TRUE
Didemnum molle,Didemnum molle,Didemnum,Ascidiacea,Chordata,Didemnum,"Hirose, Mamiko; Nozawa, Yoko; Hirose, Euichi",2010,"Genetic Isolation among Morphotypes in the Photosymbiotic Didemnid Didemnum molle (Ascidiacea, Tunicata) from the Ryukyus and Taiwan",ZOOLOGICAL SCIENCE,27,959,964,Other chordate (tunicates/lancets),"Genetic, Morphological",mtDNA,5,Diagnostic,Sympatric,NA,NA,TRUE,48,17,48,17,Pacific,NA,Lecithotrophic,Coral reef,Demersal or benthic,Didemnum molle,other,240,1886,1,1,1,1,2,48,17,48,17,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Didemnum molle,TRUE,TRUE,nuc&mito,Sympatric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,NA,Didemnum,Didemnum,Sympatric,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Chordata_Ascidiacea,N,B,N,N,FALSE,TRUE
Didemnum vexillum,Didemnum vexillum,Didemnum,Ascidiacea,Chordata,Didemnum,"Turon, X; Casso, M; Pascual, M; Viard, F",2020,Looks can be deceiving:Didemnum pseudovexillumsp. nov. (Ascidiacea) in European harbours,MARINE BIODIVERSITY,50,NA,NA,Other chordate (tunicates/lancets),"Genetic, Morphological",mtDNA,2,NA,"Sympatric, syntopy",NA,NA,NA,8,3,8,3,"Brittany France, Atlantic, Spain, Mediterranean",NA,Pelagic,"Rocky shore, Coastal","Demersal or benthic, sessile",Didemnum vexillum,other,240,2002,1,1,0,1,1,8,3,8,3,FALSE,TRUE,FALSE,FALSE,FALSE,1,100,Didemnum vexillum,TRUE,TRUE,nuc&mito,Sympatric,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal,Demersal or benthic, sessile",TRUE,25,Rocky,Average,Moderate to high,Demersal or benthic,NA,Didemnum,Didemnum,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Chordata_Ascidiacea,N,B,N,N,NA,TRUE
Diloma durvillaea,Diloma durvillaea,Diloma,Gastropoda,Mollusca,Diloma,"Spencer, Hamish G.; Marshall, Bruce A.; Waters, Jonathan M.",2009,"Systematics and phylogeny of a new cryptic species of Diloma Philippi (Mollusca: Gastropoda: Trochidae) from a novel habitat, the bull kelp holdfast communities of southern New Zealand",INVERTEBRATE SYSTEMATICS,23,19,25,Mollusca,"Genetic, Morphological",mtDNA,2,Statistic,Sympatric,Yes,NA,TRUE,34,3,1000,NA,Pacific,NA,Lecithotrophic,"Rocky shore, Coastal, Intertidal or tide pools, kelp holdfasts","Demersal or benthic, Coastal",Diloma durvillaea,other,12,2009,1,1,0,1,1,34,3,1000,NA,NA,NA,NA,NA,NA,NA,NA,Diloma durvillaea,TRUE,TRUE,nuc&mito,Sympatric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools, kelp holdfasts,Demersal or benthic, Coastal",TRUE,10,Rocky,Accessible,NA,Demersal or benthic,NA,Diloma,Diloma,Sympatric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,TRUE
Diphasia margareta,Diphasia margareta,Diphasia,Hydrozoa,Cnidaria,Diphasia,"Moura, Carlos J.; Cunha, Marina R.; Porteiro, Filipe M.; Rogers, Alex D.",2011,"The use of the DNA barcode gene 16S mRNA for the clarification of taxonomic problems within the family Sertulariidae (Cnidaria, Hydrozoa)",ZOOLOGICA SCRIPTA,40,520,537,Cnidaria,Genetic,mtDNA,2,NA,"Allopatric, Sympatric",NA,NA,NA,4,5,NA,NA,Atlantic,"this is part of a general study thus not many sequences, difficult toassess allopatry, etc.",Unknown,"Rocky shore, Deep sea, Coastal, fouling communities",Demersal or benthic,Diphasia margareta,other,32,1841,7,1,0,1,1,4,5,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,1,100,Diphasia margareta,TRUE,TRUE,mito,"Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Deep sea, Coastal, fouling communities,Demersal or benthic",TRUE,100,Rocky,Inaccessible,NA,Demersal or benthic,NA,Diphasia,Diphasia,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,TRUE
Diplosoma listerianum,Diplosoma listerianum,Diplosoma,Ascidiacea,Chordata,Diplosoma,"Perez-Portela, R.; Arranz, V.; Rius, M.; Turon, X.",2013,Cryptic speciation or global spread? The case of a cosmopolitan marine invertebrate with limited dispersal capabilities,SCIENTIFIC REPORTS,3,NA,NA,Other chordate (tunicates/lancets),"Genetic, Morphological",mtDNA,4,No differentiation,"Allopatric, Sympatric",NA,NA,NA,234,14,NA,NA,Global,NA,Lecithotrophic,"Rocky shore, fouling communities","Demersal or benthic, Coastal",Diplosoma listerianum,other,43,1841,1,1,0,1,1,234,14,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Diplosoma listerianum,TRUE,TRUE,nuc&mito,"Sympatric, Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, fouling communities,Demersal or benthic, Coastal",TRUE,25,Rocky,Average,NA,Demersal or benthic,NA,Diplosoma,Diplosoma,"Sympatric, Allopatric",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Chordata_Ascidiacea,N,B,N,N,TRUE,TRUE
Ditrema jordani,Ditrema jordani,Ditrema,Actinopterygii,Chordata,Ditrema,"Katafuchi, Hiroshi; Kai, Yoshiaki; Nakabo, Tetsuji",2011,"Genetic divergence in Ditrema jordani (Perciformes: Embiotocidae) from the Pacific coast of southern Japan, as inferred from mitochondrial DNA sequences",ICHTHYOLOGICAL RESEARCH,58,90,94,Fish,Genetic,mtDNA,2,NA,Allopatric,NA,NA,NA,16,6,NA,NA,Pacific,NA,viviparous,"Coastal, Rocky shore",Coastal,Ditrema jordani,other,3,1910,1,1,0,1,1,16,6,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,Ditrema jordani,TRUE,TRUE,mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Coastal, Rocky shore,Coastal",FALSE,NA,Rocky,Average,NA,NA,NA,Ditrema,Ditrema,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE
Divariscintilla yoyo,Divariscintilla yoyo,Divariscintilla,Bivalvia,Mollusca,Divariscintilla,"Goto, R; Harrison, TA; Foighil, DO",2018,"Within-host speciation events in yoyo clams, obligate commensals with mantis shrimps, including one that involves a change in microhabitat and a loss of specialized traits",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,124,504,517,Mollusca,"Genetic, Ecological","mtDNA, other nuclear",2,NA,"Sympatric, syntopic (live in same host)",NA,NA,TRUE,5,1,NA,NA,"Florida, Atlantic Ocean",NA,Planktotroph,in burows with their host shrimp,"Demersal or benthic, live in burrow attached to host shrimp or to burrow",Divariscintilla yoyo,other,7,1989,1,1,0,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Divariscintilla yoyo,TRUE,TRUE,nuc&mito,Sympatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"in burows with their host shrimp,Demersal or benthic, live in burrow attached to host shrimp or to burrow",TRUE,NA,NA,Average,NA,Demersal or benthic,NA,Divariscintilla,Divariscintilla,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Mollusca_Bivalvia,Y,E,N,N,NA,TRUE
Doris kerguelenensis,Doris kerguelenensis,Doris,Gastropoda,Mollusca,Doris,"Wilson, Nerida G.; Schroedl, M.; Halanych, Kenneth M.",2009,"Ocean barriers and glaciation: evidence for explosive radiation of mitochondrial lineages in the Antarctic sea slug Doris kerguelenensis (Mollusca, Nudibranchia)",MOLECULAR ECOLOGY,18,965,984,Mollusca,Genetic,mtDNA,29,NA,"Allopatric, Sympatric",NA,NA,NA,144,13,NA,NA,Antarctica,NA,"Planktotroph, Pelagic","Coastal, Rocky shore",Demersal or benthic,Doris kerguelenensis,other,51,1884,1,1,0,1,1,144,13,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,2,100,Doris kerguelenensis,TRUE,TRUE,nuc&mito,"Sympatric, Allopatric",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Rocky shore,Demersal or benthic",TRUE,25,Rocky,Average,Moderate to high,Demersal or benthic,NA,Doris,Doris,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,TRUE
Doryteuthis plei,Doryteuthis (Doryteuthis) pleii,Doryteuthis,Cephalopoda,Mollusca,Doryteuthis,"de Luna Sales, Joao Braullio; Shaw, Paul W.; Haimovici, Manuel; Markaida, Unai; Cunha, Divino B.; Ready, Jonathan; Figueiredo-Ready, Wilsea M. B.; Schneider, Horacio; Sampaio, Iracilda",2013,"New molecular phylogeny of the squids of the family Loliginidae with emphasis on the genus Doryteuthis Naef, 1912: Mitochondrial and nuclear sequences indicate the presence of cryptic species in the southern Atlantic Ocean",MOLECULAR PHYLOGENETICS AND EVOLUTION,68,293,299,Mollusca,Genetic,"mtDNA, other nuclear",4,NA,Allopatric,NA,NA,NA,18,6,NA,8,NA,NA,Pelagic,"Pelagic, Coastal","Pelagic, Coastal",Doryteuthis plei,other,8,1823,1,1,0,1,1,18,6,NA,8,FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,Doryteuthis pleii,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal,Pelagic, Coastal",FALSE,1000,NA,Average,High,Pelagic,NA,Doryteuthis,Doryteuthis,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Mollusca_Cephalopoda,Y,I,Y,Y,NA,FALSE
Doto coronata,Doto coronata,Doto,Gastropoda,Mollusca,Doto,"MORROW, CC; THORPE, JP; PICTON, BE",1992,"GENETIC-DIVERGENCE AND CRYPTIC SPECIATION IN 2 MORPHS OF THE COMMON SUBTIDAL NUDIBRANCH DOTO-CORONATA (OPISTHOBRANCHIA, DENDRONOTACEA, DOTOIDAE) FROM THE NORTHERN IRISH SEA",MARINE ECOLOGY PROGRESS SERIES,84,53,61,Mollusca,"Genetic, Morphological, Ecological",Allozymes,2,Statistic,Sympatric,Yes,NA,TRUE,22,1,22,1,Atlantic,NA,"Planktotroph, Pelagic","Rocky shore, Coastal","Demersal or benthic, Coastal",Doto coronata,other,91,1791,1,1,0,1,1,22,1,22,1,FALSE,TRUE,FALSE,TRUE,FALSE,2,100,Doto coronata,TRUE,TRUE,nuc&mito,Sympatric,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal,Demersal or benthic, Coastal",TRUE,25,Rocky,Average,Moderate to high,Demersal or benthic,NA,Doto,Doto,Sympatric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,TRUE
Drymonema larsoni,Drymonema larsoni,Drymonema,Scyphozoa,Cnidaria,Drymonema,"Daglio, LG; Dawson, MN",2017,"Species richness of jellyfishes (Scyphozoa : Discomedusae) in the Tropical Eastern Pacific: missed taxa, molecules, and morphology match in a biodiversity hotspot",INVERTEBRATE SYSTEMATICS,31,635,663,Cnidaria,"Genetic, Morphological","mtDNA, other nuclear, ITS",2,Statistic,Allopatric,NA,NA,TRUE,15,2,15,2,"Atlantic, Pacific",NA,Pelagic,Pelagic,Pelagic,Drymonema larsoni,other,3,2010,9,1,0,1,1,15,2,15,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,Drymonema larsoni,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,1000,NA,Average,High,Pelagic,NA,Drymonema,Drymonema,Allopatric,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Cnidaria_Scyphozoa,N,E,N,N,TRUE,FALSE
Dynamena crisioides,Dynamena crisioides,Dynamena,Hydrozoa,Cnidaria,Dynamena,"Boissin, E; Hoareau, TB; Postaire, B; Gravier-Bonnet, N; Bourmaud, CAF",2018,"Cryptic diversity, low connectivity and suspected human-mediated dispersal among 17 widespread Indo-Pacific hydroid species of the south-western Indian Ocean",JOURNAL OF BIOGEOGRAPHY,45,2104,2117,Cnidaria,Genetic,"mtDNA, other nuclear",4,NA,Sympatric,NA,NA,TRUE,54,17,NA,NA,Indian ocean,NA,Brooding,Coral reef,Sessile,Dynamena crisioides,other,22,1824,7,1,0,1,1,54,17,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,Dynamena crisioides,TRUE,TRUE,nuc&mito,Sympatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Coral reef,Sessile",FALSE,10,NA,Average,Very low or null,NA,NA,Dynamena,Dynamena,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,TRUE
Dynamena disticha,Dynamena disticha,Dynamena,Hydrozoa,Cnidaria,Dynamena,"Moura, Carlos J.; Cunha, Marina R.; Porteiro, Filipe M.; Rogers, Alex D.",2011,"The use of the DNA barcode gene 16S mRNA for the clarification of taxonomic problems within the family Sertulariidae (Cnidaria, Hydrozoa)",ZOOLOGICA SCRIPTA,40,520,537,Cnidaria,Genetic,mtDNA,3,NA,"Allopatric, Sympatric",NA,NA,NA,11,10,NA,NA,Atlantic,"this is part of a general study thus not many sequences, difficult toassess allopatry, etc.",Unknown,"Rocky shore, Deep sea, Coastal, fouling communities",Demersal or benthic,Dynamena disticha,other,22,1802,7,1,0,1,1,11,10,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Dynamena disticha,TRUE,TRUE,mito,"Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Deep sea, Coastal, fouling communities,Demersal or benthic",TRUE,100,Rocky,Inaccessible,NA,Demersal or benthic,NA,Dynamena,Dynamena,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,TRUE
Echiniscoides sigismundi,Echiniscoides sigismundi,Echiniscoides,Heterotardigrada,Tardigrada,Echiniscoides,"Faurby, Soren; Jorgensen, Aslak; Kristensen, Reinhardt M.; Funch, Peter",2011,"Phylogeography of North Atlantic intertidal tardigrades: refugia, cryptic speciation and the history of the Mid-Atlantic Islands",JOURNAL OF BIOGEOGRAPHY,38,1613,1624,tardigrada,Genetic,mtDNA,2,NA,Allopatric,NA,NA,NA,249,24,NA,8,NA,NA,Direct development,"Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",Echiniscoides sigismundi,other,8,1865,1,1,0,1,1,249,24,NA,8,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,Echiniscoides sigismundi,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,NA,Accessible,Very low or null,Demersal or benthic,NA,Echiniscoides,Echiniscoides,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Tardigrada_Heterotardigrada,N,I,N,N,NA,FALSE
Echinoderes sensibilis,Echinoderes sensibilis,Echinoderes,NA,Kinorhyncha,Echinoderes,"Yamasaki, Hiroshi; Hiruta, Shimpei F.; Kajihara, Hiroshi; Dick, Matthew H.",2014,"Two Kinorhynch Species (Cyclorhagida, Echinoderidae, Echinoderes) Show Different Distribution Patterns Across Tsugaru Strait, Northern Japan",ZOOLOGICAL SCIENCE,31,421,429,Kinorhyncha,Genetic,mtDNA,2,NA,Sympatric,NA,NA,NA,285,8,NA,NA,Japan,There's another paper (dissertation) that talks about morpho differences and the COI differences between species.,Direct development,"Soft sediment, Intertidal or tide pools","Demersal or benthic, Coastal",Echinoderes sensibilis,other,127,2002,1,1,0,1,1,285,8,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,Echinoderes sensibilis,TRUE,TRUE,nuc&mito,Sympatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Sediment,Accessible,Very low or null,Demersal or benthic,NA,Echinoderes,Echinoderes,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Kinorhyncha_Cyclorhagida,NA,NA,NA,NA,NA,TRUE
